Text A,Text B,Result
1103,1140,0
1103,1248,1
1103,1283,1
1103,1588,1
1103,2001,1
1103,2262,1
1103,2336,1
1103,3081,1
1103,3191,1
1103,3334,0
1103,3634,1
1103,3846,1
1103,4017,1
1103,4033,0
1103,4936,1
1103,5009,1
1103,5093,1
1103,5163,1
1103,5259,1
1103,5614,1
1103,5670,1
1103,6103,1
1103,6304,1
1103,6548,0
1103,6630,1
1103,6781,1
1103,6987,1
1103,7216,0
1105,1543,1
1105,2180,1
1105,2236,0
1105,2374,0
1105,2488,0
1105,2761,0
1105,2907,0
1105,3203,1
1105,3325,0
1105,3427,0
1105,4120,1
1105,457,0
1105,4765,1
1105,5450,0
1105,5500,0
1105,5619,0
1105,5651,0
1105,5700,1
1105,5909,1
1105,6059,1
1105,6344,0
1105,6480,0
1105,7063,1
1105,7132,1
1106,1204,1
1106,1248,1
1106,2449,1
1106,2479,1
1106,3734,1
1106,4379,1
1106,4444,1
1106,4531,1
1106,4979,1
1106,4990,1
1106,5092,1
1106,5148,1
1106,5994,1
1106,6096,0
1106,6594,1
1106,6720,0
1106,7020,0
1106,7096,0
1106,7380,1
1110,1135,1
1110,1963,1
1110,1966,1
1110,2391,1
1110,2654,1
1110,3166,0
1110,3265,0
1110,3347,1
1110,3400,1
1110,3480,1
1110,3675,1
1110,3868,0
1110,4395,0
1110,4696,0
1110,4736,0
1110,4922,0
1110,5081,1
1110,5467,0
1110,6654,0
1110,6701,1
1110,7048,0
1110,7152,0
1110,7281,0
1110,7326,0
1110,7338,0
1110,7382,1
1110,7442,1
1111,1543,0
1111,1945,1
1111,2065,1
1111,2071,1
1111,2239,1
1111,2283,0
1111,2365,0
1111,2453,1
1111,2518,1
1111,2613,0
1111,2664,0
1111,2744,0
1111,2851,0
1111,3075,1
1111,3849,1
1111,409,0
1111,4270,0
1111,4379,1
1111,4395,1
1111,4412,0
1111,4452,0
1111,4958,1
1111,5054,1
1111,5489,0
1111,5584,1
1111,5645,0
1111,5964,1
1111,6329,0
1111,6331,1
1111,6469,0
1111,6721,1
1111,6990,0
1111,7158,1
1111,7198,0
1111,7313,1
1112,2510,0
1112,2544,1
1112,2569,0
1112,2589,0
1112,2916,0
1112,3370,0
1112,3473,0
1112,3663,0
1112,3700,0
1112,3844,0
1112,4675,1
1112,4832,0
1112,5135,1
1112,5599,0
1112,5673,0
1112,5719,1
1112,6712,0
1112,6914,0
1112,6937,1
1112,6964,0
1112,7363,0
1112,7473,1
1113,2012,1
1113,2153,1
1113,2305,1
1113,2608,1
1113,2822,1
1113,2943,1
1113,3283,1
1113,3400,0
1113,3417,0
1113,3468,0
1113,3529,1
1113,3569,1
1113,3593,0
1113,3596,1
1113,3930,0
1113,4039,1
1113,4299,1
1113,437,0
1113,4429,1
1113,4811,1
1113,5037,0
1113,5210,1
1113,5602,0
1113,5671,1
1113,5902,1
1113,6359,0
1113,6556,1
1113,6700,0
1113,6783,0
1113,7012,1
1113,7043,0
1113,7237,1
1113,7451,1
1114,1139,0
1114,1146,1
1114,1283,1
1114,1539,1
1114,1983,1
1114,2018,1
1114,2207,0
1114,2427,0
1114,2475,0
1114,2726,0
1114,2969,0
1114,3311,1
1114,3392,0
1114,3449,1
1114,3466,1
1114,4025,0
1114,4370,1
1114,4616,1
1114,5303,1
1114,5507,0
1114,5562,1
1114,5574,0
1114,5632,0
1114,5830,1
1114,5920,0
1114,6227,1
1114,6409,1
1114,6661,0
1114,6755,1
1114,6873,1
1114,703,0
1114,7215,0
1114,7412,1
1124,2305,1
1124,2744,1
1124,3066,0
1124,3070,0
1124,3095,0
1124,3197,1
1124,3304,0
1124,3594,0
1124,3752,0
1124,3754,1
1124,4166,0
1124,433,1
1124,4462,1
1124,4681,0
1124,4811,1
1124,4821,0
1124,4984,0
1124,5268,1
1124,5726,1
1124,5811,0
1124,5916,1
1124,6456,0
1124,6620,1
1124,6660,0
1124,6724,1
1124,7016,0
1124,7197,1
1124,7247,0
1124,7250,1
1124,7281,0
1124,7297,0
1124,7318,1
1125,1181,0
1125,2367,0
1125,2694,1
1125,3183,0
1125,3285,0
1125,3393,1
1125,3407,0
1125,3505,0
1125,3562,0
1125,3721,0
1125,4790,0
1125,5048,1
1125,5359,1
1125,5382,1
1125,6403,1
1125,6446,0
1125,6704,0
1125,6873,0
1125,7060,1
1125,885,0
1125,899,0
1127,1130,0
1127,1138,1
1127,1243,0
1127,1279,0
1127,1987,1
1127,2149,1
1127,2277,0
